epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4833.61,2.0078,7.07401,2.1889,0.57256,0.54437,0.56022,0.42248,1.81125,7.72956,2.00806,0.000368892,0.000368892,0.000368892
2,12854.3,2.03984,4.64374,2.1981,0.57101,0.51321,0.54412,0.39734,2.01849,5.12292,2.17599,0.000702634,0.000702634,0.000702634
3,37449.6,2.08468,3.42583,2.22664,0.6248,0.56499,0.59565,0.4543,1.76494,3.59966,2.02367,0.000999713,0.000999713,0.000999713
4,60785,2.04071,2.85765,2.20292,0.69364,0.61251,0.67353,0.53921,1.66867,2.58097,1.93333,0.000946016,0.000946016,0.000946016
5,77955.2,1.98525,2.51011,2.17136,0.7641,0.65082,0.72926,0.58075,1.66255,2.20559,1.94679,0.000891022,0.000891022,0.000891022
6,102953,1.92442,2.3262,2.13966,0.7728,0.68211,0.76776,0.60494,1.61288,2.424,1.93714,0.000836027,0.000836027,0.000836027
7,110528,1.86538,2.18893,2.12768,0.80262,0.70444,0.79929,0.63379,1.63489,1.78548,1.91509,0.000781033,0.000781033,0.000781033
8,117206,1.84847,2.06173,2.13378,0.82263,0.74069,0.82131,0.65896,1.64106,1.6352,1.91612,0.000726038,0.000726038,0.000726038
9,121708,1.77466,1.9336,2.08811,0.81859,0.7071,0.8019,0.66024,1.50215,1.68234,1.90386,0.000671044,0.000671044,0.000671044
10,126265,1.72897,1.85521,2.06464,0.83887,0.74237,0.83331,0.6862,1.50439,1.53617,1.86906,0.000616049,0.000616049,0.000616049
11,130734,1.50769,1.53068,1.91061,0.83666,0.7251,0.82416,0.67353,1.52919,1.56126,1.87069,0.000561055,0.000561055,0.000561055
12,135221,1.4624,1.45025,1.88057,0.85436,0.76646,0.85769,0.70861,1.50072,1.38224,1.85048,0.00050606,0.00050606,0.00050606
13,139737,1.43236,1.38607,1.86819,0.85146,0.75085,0.85255,0.72113,1.37936,1.37711,1.82693,0.000451066,0.000451066,0.000451066
14,144187,1.40143,1.2838,1.84122,0.84029,0.76504,0.85631,0.71908,1.37878,1.35717,1.81594,0.000396071,0.000396071,0.000396071
15,148693,1.38587,1.23366,1.83796,0.87828,0.7652,0.87133,0.72431,1.44888,1.28967,1.82787,0.000341077,0.000341077,0.000341077
16,153171,1.32661,1.17623,1.81909,0.86979,0.789,0.87908,0.75018,1.32227,1.21113,1.79045,0.000286083,0.000286083,0.000286083
17,157660,1.30553,1.11703,1.80171,0.90711,0.77164,0.88503,0.75814,1.30493,1.16881,1.77665,0.000231088,0.000231088,0.000231088
18,162174,1.27927,1.04817,1.79333,0.88837,0.79484,0.89011,0.7554,1.36599,1.15826,1.79228,0.000176094,0.000176094,0.000176094
19,166681,1.25178,1.02397,1.77884,0.89523,0.79286,0.89153,0.7697,1.27334,1.10209,1.76062,0.000121099,0.000121099,0.000121099
20,171190,1.24687,0.97355,1.7783,0.89676,0.80375,0.89902,0.77163,1.29927,1.08152,1.77053,6.61045e-05,6.61045e-05,6.61045e-05
